"Source:","/home/decadenza/Desktop/OldStyleDigitalClock/KiCadProject/OldStyleDigitalClock.kicad_sch"
"Date:","Sun 18 May 2025 16:17:42 BST"
"Tool:","Eeschema 6.0.11+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MF","MP","Package","Price","SnapEDA_Link"
"","","R8","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R9","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R10","10 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R11","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R12","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R13","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R14","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R15","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R16","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R17","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R18","100 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R19","220 Ω","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R20","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R21","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R22","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R23","100 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R24","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R25","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R26","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R27","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R28","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"","","R29","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
